AllProductsBought,Timestamp,TotalPrice,GivePoints
['Orange'],13/01/2024,3.68,0.368
"['Tomato', 'Banana']",13/01/2024,11.99,1.199
['Cheese'],26/03/2024,0.73,0.073
['Croissant'],07/02/2024,1.96,0.196
"['Baguette', 'Beef', 'Chicken']",15/03/2024,16.61,1.661
"['Pretzels', 'Tea', 'Chocolate']",04/03/2024,10.91,1.091
['Croissant'],13/03/2024,7.19,0.719
"['Yogurt', 'Fish', 'Water', 'Soda']",02/01/2024,12.5,1.25
"['Lettuce', 'Yogurt', 'Popcorn', 'Chicken', 'Water']",21/01/2024,35.4,3.54
"['Butter', 'Roll']",15/01/2024,10.49,1.049
['Tomato'],17/02/2024,4.99,0.499
"['Croissant', 'Chocolate', 'Beef', 'Tea']",15/03/2024,36.19,3.619
"['Lamb', 'Juice']",09/02/2024,11.22,1.122
"['Chocolate', 'Cheese', 'Cream']",23/02/2024,8.96,0.896
"['Milk', 'Cream', 'Chips', 'Roll', 'Water']",13/02/2024,24.94,2.494
"['Tomato', 'Lettuce', 'Banana', 'Croissant']",01/02/2024,19.16,1.916
['Soda'],11/01/2024,1.03,0.103
"['Roll', 'Apple', 'Cookies']",29/02/2024,10.78,1.078
"['Coffee', 'Beef']",05/01/2024,11.29,1.129
"['Butter', 'Bread', 'Croissant']",26/02/2024,16.77,1.677
['Chocolate'],09/02/2024,3.32,0.332
"['Coffee', 'Cookies', 'Cheese', 'Muffin', 'Chicken']",30/03/2024,18.95,1.895
"['Roll', 'Lettuce', 'Banana']",13/03/2024,13.1,1.31
"['Banana', 'Apple', 'Juice', 'Pork', 'Yogurt']",17/02/2024,34.82,3.482
"['Soda', 'Orange', 'Chips', 'Banana']",24/03/2024,21.89,2.189
['Muffin'],24/03/2024,9.69,0.969
"['Muffin', 'Cookies', 'Pretzels', 'Pork', 'Chips']",04/02/2024,33.52,3.352
['Chicken'],17/02/2024,9.15,0.915
"['Cheese', 'Chips', 'Juice', 'Coffee', 'Butter']",21/02/2024,28.33,2.833
"['Pretzels', 'Lettuce', 'Cookies']",23/01/2024,11.97,1.197
"['Cream', 'Pork', 'Tea', 'Orange']",29/02/2024,28.86,2.886
"['Cream', 'Lamb', 'Tomato', 'Tea']",20/02/2024,16.69,1.669
"['Muffin', 'Bread', 'Milk', 'Beef', 'Pretzels']",09/01/2024,25.56,2.556
"['Croissant', 'Banana', 'Lettuce', 'Beef']",24/03/2024,17.4,1.74
['Chips'],12/03/2024,5.14,0.514
['Water'],05/02/2024,3.54,0.354
"['Yogurt', 'Chips', 'Pork', 'Soda', 'Milk']",30/01/2024,21.8,2.18
"['Fish', 'Yogurt', 'Pretzels', 'Lettuce']",28/01/2024,21.09,2.109
"['Roll', 'Baguette', 'Bread', 'Juice']",31/01/2024,18.32,1.832
"['Soda', 'Popcorn', 'Cookies']",08/01/2024,10.99,1.099
['Tomato'],10/02/2024,2.88,0.288
"['Chicken', 'Roll', 'Baguette', 'Butter', 'Muffin']",19/02/2024,27.09,2.709
"['Cookies', 'Bread', 'Tomato', 'Tea']",12/01/2024,25.28,2.528
"['Popcorn', 'Lamb', 'Muffin', 'Yogurt']",05/03/2024,20.04,2.004
['Bread'],09/01/2024,7.59,0.759
"['Baguette', 'Chocolate', 'Lamb', 'Yogurt', 'Fish']",11/02/2024,28.73,2.873
"['Yogurt', 'Milk', 'Water', 'Baguette', 'Pretzels']",14/02/2024,21.34,2.134
"['Beef', 'Chocolate', 'Juice', 'Cookies', 'Pretzels']",11/03/2024,23.65,2.365
['Tea'],03/01/2024,4.14,0.414
['Tomato'],14/03/2024,7.52,0.752
['Cookies'],05/01/2024,2.46,0.246
['Tea'],29/02/2024,9.33,0.933
['Roll'],15/02/2024,8.99,0.899
"['Tomato', 'Apple', 'Chips']",28/01/2024,11.4,1.14
"['Popcorn', 'Baguette', 'Soda', 'Pretzels']",10/02/2024,19.72,1.972
"['Bread', 'Lettuce', 'Cheese', 'Popcorn']",06/01/2024,10.81,1.081
"['Chicken', 'Milk']",15/03/2024,9.71,0.971
"['Tomato', 'Popcorn']",18/01/2024,9.74,0.974
"['Pork', 'Bread', 'Muffin']",05/01/2024,6.96,0.696
"['Croissant', 'Apple', 'Popcorn', 'Muffin', 'Yogurt']",22/02/2024,23.46,2.346
"['Yogurt', 'Cheese', 'Beef', 'Popcorn']",29/01/2024,20.07,2.007
"['Fish', 'Chocolate', 'Muffin', 'Soda']",26/03/2024,17.53,1.753
"['Soda', 'Muffin']",18/01/2024,16.77,1.677
"['Baguette', 'Yogurt', 'Pork']",05/03/2024,11.55,1.155
"['Coffee', 'Chocolate']",27/02/2024,18.77,1.877
"['Butter', 'Pork']",13/03/2024,1.96,0.196
"['Pretzels', 'Banana', 'Butter']",18/02/2024,9.35,0.935
['Orange'],14/03/2024,6.86,0.686
['Tomato'],29/03/2024,3.32,0.332
"['Baguette', 'Chocolate', 'Chips']",13/03/2024,24.34,2.434
"['Baguette', 'Chocolate', 'Butter', 'Bread', 'Lamb']",21/03/2024,23.73,2.373
"['Banana', 'Fish']",14/02/2024,9.98,0.998
"['Beef', 'Coffee', 'Orange']",07/01/2024,13.4,1.34
['Roll'],19/02/2024,4.43,0.443
['Coffee'],03/01/2024,4.77,0.477
"['Coffee', 'Cheese', 'Croissant']",20/02/2024,23,2.3
['Chips'],18/01/2024,3.01,0.301
"['Beef', 'Banana', 'Lamb']",27/02/2024,22.06,2.206
"['Beef', 'Milk', 'Tea', 'Banana']",02/03/2024,23.55,2.355
"['Lamb', 'Banana']",12/01/2024,6.13,0.613
"['Juice', 'Milk', 'Croissant', 'Soda']",21/01/2024,30.4,3.04
"['Cheese', 'Chocolate', 'Juice', 'Cream']",14/01/2024,19.65,1.965
"['Muffin', 'Yogurt', 'Cookies']",08/02/2024,11.14,1.114
['Butter'],12/02/2024,3.29,0.329
['Milk'],18/01/2024,6.61,0.661
"['Pork', 'Fish', 'Milk', 'Apple', 'Chocolate']",08/01/2024,22.14,2.214
"['Bread', 'Orange', 'Coffee', 'Cream', 'Tea']",01/01/2024,20.59,2.059
['Roll'],01/03/2024,6.31,0.631
"['Baguette', 'Croissant']",18/02/2024,10.42,1.042
"['Orange', 'Pretzels', 'Popcorn', 'Juice', 'Baguette']",16/03/2024,21.52,2.152
"['Milk', 'Lettuce']",17/01/2024,12.95,1.295
['Lamb'],14/03/2024,3.2,0.32
"['Roll', 'Muffin', 'Orange']",12/03/2024,13.63,1.363
['Fish'],16/02/2024,0.74,0.074
"['Beef', 'Milk']",25/01/2024,12.75,1.275
"['Pretzels', 'Beef', 'Lettuce']",04/03/2024,13.23,1.323
"['Tomato', 'Cheese', 'Water']",22/03/2024,20.11,2.011
"['Water', 'Chocolate', 'Muffin']",01/01/2024,15.32,1.532
"['Coffee', 'Cookies', 'Apple']",07/02/2024,12.62,1.262
['Banana'],07/03/2024,4.47,0.447
